     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
  33488896,         5,         0,247730.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":511}"
  32571392,         3,         0,248103.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":497}"
  32440320,         1,         0,247985.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":495}"
  33423360,         5,         0,248086.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":510}"
  31653888,         1,         0,248152.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":483}"
  29753344,         3,         0,248265.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":454}"
  31653888,         0,         0,248276.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":483}"
  31129600,         4,         0,248365.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":475}"
  29097984,         6,         0,230706.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":444}"
  30801920,         3,         0,230352.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":470}"
  30998528,         2,         0,230171.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":473}"
  29753344,         5,         0,230526.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":454}"
  29622272,         0,         0,230411.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,78e1c48f09a923edf4d497177ebfab113c8c29b2b84d1b3d8985fb77fd311951,"{""d"":12,""p"":0.001,""rounds"":12}","{""base"":452}"


   7798784,         6,         0, 84916.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,27662ce1c23b610a1d389b9b1db229b89a28fddc02af776fafd1e2cce4305c51,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":119,""base"":119}"
   7995392,         4,         0, 85183.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,27662ce1c23b610a1d389b9b1db229b89a28fddc02af776fafd1e2cce4305c51,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":122,""base"":122}"
  16580608,        10,         0,170571.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,27662ce1c23b610a1d389b9b1db229b89a28fddc02af776fafd1e2cce4305c51,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":253,""base"":253}"
  16646144,        17,         0,170740.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,27662ce1c23b610a1d389b9b1db229b89a28fddc02af776fafd1e2cce4305c51,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":254,""base"":254}"
  16842752,        17,         0,170598.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,27662ce1c23b610a1d389b9b1db229b89a28fddc02af776fafd1e2cce4305c51,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":257,""base"":257}"
  17039360,        16,         0,170358.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,27662ce1c23b610a1d389b9b1db229b89a28fddc02af776fafd1e2cce4305c51,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":260,""base"":260}"
  16973824,        19,         0,170398.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,27662ce1c23b610a1d389b9b1db229b89a28fddc02af776fafd1e2cce4305c51,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":259,""base"":259}"
  16318464,        14,         0,170883.0,HBP_etB_corr_big_sr_400_0.9921875_1_0_2_et1_en24_i,27662ce1c23b610a1d389b9b1db229b89a28fddc02af776fafd1e2cce4305c51,"{""d"":12,""p"":0.0015,""rounds"":12}","{""avg_itr"":249,""base"":249}"

